试验ID：1
试验名称：金属材料室温拉伸试验
批号: /	
编号: /	
材质: /	
规格: /	
试验日期: 2021/10/20	
形状: 圆材	
标距倍率: 0	
尺寸1: 0.0	
尺寸2: 0.0	
尺寸3: 0.0	
试样尺寸: 0	
面积: 0.0	
原始标距: 50.0	
引伸计标距: 50.0	
平行长度: 50.0	
试验温度: 20.0	
试验人: /	
断后标距: 0	
断后面积: 0	
上屈服力: 3.064	
上屈服强度: 31	
下屈服力: 2.528	
下屈服强度: 25	
规定非比例延伸力: 0	
规定非比例延伸强度: 0	
规定非比例延伸力1: 0	
规定非比例延伸强度1: 0	
规定总延伸力: 0	
规定总延伸强度: 0	
最大力: 6.440	
抗拉强度: 64	
最大力非比例伸长率: 0	
最大力总伸长率: 0	
断后伸长率: 0	
断裂总伸长率: 0	
断面收缩率: 0	
屈服点延伸率: 0	
弹性模量: 657.76	
屈强比: 0.39	
强屈比: 2.56	
屈屈比: 0.125	
自定义1: 0	
自定义2: 0	
自定义3: 0	
自定义4: 0	

=========================曲线数据==========================
数据量：13547
试验力			变形1			变形2			变形3			位移			位移1			位移2			位移3			位移4			应力			应变			时间
6.1330		-0.0009		-0.0004		-0.0004		5.1207		-4.9709		-5.6202		-0.0000		-0.0000		61.3300		-0.0018		153.9761
6.1330		-0.0009		-0.0004		-0.0004		5.1219		-4.9709		-5.6202		-0.0000		-0.0000		61.3300		-0.0018		153.9961
6.1350		-0.0008		-0.0004		-0.0004		5.1219		-4.9709		-5.6202		-0.0000		-0.0000		61.3500		-0.0016		154.0161
6.1350		-0.0008		-0.0004		-0.0004		5.1231		-4.9709		-5.6202		-0.0000		-0.0000		61.3500		-0.0016		154.0361
6.1370		-0.0006		-0.0004		-0.0004		5.1231		-4.9709		-5.6202		-0.0000		-0.0000		61.3700		-0.0012		154.0561
6.1370		-0.0006		-0.0004		-0.0004		5.1243		-4.9709		-5.6202		-0.0000		-0.0000		61.3700		-0.0012		154.0761
6.1400		-0.0005		-0.0004		-0.0004		5.1255		-4.9709		-5.6302		-0.0000		-0.0000		61.4000		-0.0010		154.0961
6.1400		-0.0005		-0.0004		-0.0004		5.1255		-4.9709		-5.6302		-0.0000		-0.0000		61.4000		-0.0010		154.1161
6.1430		-0.0004		-0.0004		-0.0004		5.1268		-4.9709		-5.6302		-0.0000		-0.0000		61.4300		-0.0008		154.1361
6.1430		-0.0004		-0.0004		-0.0004		5.1268		-4.9709		-5.6302		-0.0000		-0.0000		61.4300		-0.0008		154.1561
6.1450		-0.0004		-0.0004		-0.0004		5.1280		-4.9709		-5.6302		-0.0000		-0.0000		61.4500		-0.0008		154.1761
6.1450		-0.0004		-0.0004		-0.0004		5.1280		-4.9709		-5.6302		-0.0000		-0.0000		61.4500		-0.0008		154.1961
6.1480		-0.0004		-0.0004		-0.0002		5.1292		-4.9709		-5.6302		-0.0000		-0.0000		61.4800		-0.0008		154.2161
6.1480		-0.0004		-0.0004		-0.0002		5.1292		-4.9709		-5.6302		-0.0000		-0.0000		61.4800		-0.0008		154.2361
6.1510		-0.0004		-0.0004		-0.0002		5.1304		-4.9809		-5.6302		-0.0000		-0.0000		61.5100		-0.0008		154.2561
6.1510		-0.0004		-0.0004		-0.0002		5.1304		-4.9809		-5.6302		-0.0000		-0.0000		61.5100		-0.0008		154.2761
6.1540		-0.0004		-0.0004		-0.0002		5.1316		-4.9809		-5.6302		-0.0000		-0.0000		61.5400		-0.0008		154.2961
6.1540		-0.0004		-0.0004		-0.0002		5.1316		-4.9809		-5.6302		-0.0000		-0.0000		61.5400		-0.0008		154.3161
6.1580		-0.0004		-0.0004		-0.0002		5.1328		-4.9809		-5.6302		-0.0000		-0.0000		61.5800		-0.0008		154.3362
6.1580		-0.0004		-0.0004		-0.0002		5.1340		-4.9809		-5.6402		-0.0000		-0.0000		61.5800		-0.0008		154.3562
6.1610		-0.0004		-0.0004		-0.0002		5.1340		-4.9809		-5.6402		-0.0000		-0.0000		61.6100		-0.0008		154.3762
6.1610		-0.0004		-0.0004		-0.0002		5.1352		-4.9809		-5.6402		-0.0000		-0.0000		61.6100		-0.0008		154.3962
6.1640		-0.0004		-0.0004		-0.0002		5.1352		-4.9809		-5.6402		-0.0000		-0.0000		61.6400		-0.0008		154.4162
6.1640		-0.0004		-0.0004		-0.0002		5.1365		-4.9809		-5.6402		-0.0000		-0.0000		61.6400		-0.0008		154.4362
6.1670		-0.0005		-0.0004		-0.0004		5.1365		-4.9809		-5.6402		-0.0000		-0.0000		61.6700		-0.0010		154.4562
6.1670		-0.0005		-0.0004		-0.0004		5.1377		-4.9809		-5.6402		-0.0000		-0.0000		61.6700		-0.0010		154.4762
6.1700		-0.0008		-0.0004		-0.0004		5.1377		-4.9809		-5.6402		-0.0000		-0.0000		61.7000		-0.0016		154.4962
6.1700		-0.0008		-0.0004		-0.0004		5.1389		-4.9809		-5.6402		-0.0000		-0.0000		61.7000		-0.0016		154.5162
6.1740		-0.0009		-0.0004		-0.0004		5.1401		-4.9809		-5.6402		-0.0000		-0.0000		61.7400		-0.0018		154.5362
6.1740		-0.0009		-0.0004		-0.0004		5.1401		-4.9910		-5.6402		-0.0000		-0.0000		61.7400		-0.0018		154.5562
6.1770		-0.0009		-0.0004		-0.0004		5.1413		-4.9910		-5.6402		-0.0000		-0.0000		61.7700		-0.0018		154.5762
6.1770		-0.0009		-0.0004		-0.0004		5.1413		-4.9910		-5.6402		-0.0000		-0.0000		61.7700		-0.0018		154.5962
6.1800		-0.0011		-0.0004		-0.0008		5.1425		-4.9910		-5.6503		-0.0000		-0.0000		61.8000		-0.0022		154.6162
6.1800		-0.0011		-0.0004		-0.0008		5.1425		-4.9910		-5.6503		-0.0000		-0.0000		61.8000		-0.0022		154.6362
6.1820		-0.0013		-0.0004		-0.0008		5.1437		-4.9910		-5.6503		-0.0000		-0.0000		61.8200		-0.0026		154.6562
6.1820		-0.0013		-0.0004		-0.0008		5.1437		-4.9910		-5.6503		-0.0000		-0.0000		61.8200		-0.0026		154.6762
6.1860		-0.0015		-0.0004		-0.0008		5.1449		-4.9910		-5.6503		-0.0000		-0.0000		61.8600		-0.0030		154.6962
6.1860		-0.0015		-0.0004		-0.0008		5.1449		-4.9910		-5.6503		-0.0000		-0.0000		61.8600		-0.0030		154.7162
6.1900		-0.0013		-0.0002		-0.0008		5.1462		-4.9910		-5.6503		-0.0000		-0.0000		61.9000		-0.0026		154.7362
6.1900		-0.0013		-0.0002		-0.0008		5.1474		-4.9910		-5.6503		-0.0000		-0.0000		61.9000		-0.0026		154.7562
6.1920		-0.0011		-0.0002		-0.0008		5.1474		-4.9910		-5.6503		-0.0000		-0.0000		61.9200		-0.0022		154.7762
6.1920		-0.0011		-0.0002		-0.0008		5.1486		-4.9910		-5.6503		-0.0000		-0.0000		61.9200		-0.0022		154.7962
6.1950		-0.0011		-0.0002		-0.0008		5.1486		-4.9910		-5.6503		-0.0000		-0.0000		61.9500		-0.0022		154.8163
6.1950		-0.0011		-0.0002		-0.0008		5.1498		-4.9910		-5.6503		-0.0000		-0.0000		61.9500		-0.0022		154.8363
6.1970		-0.0011		-0.0002		-0.0008		5.1498		-4.9910		-5.6503		-0.0000		-0.0000		61.9700		-0.0022		154.8563
6.1970		-0.0011		-0.0002		-0.0008		5.1510		-4.9910		-5.6503		-0.0000		-0.0000		61.9700		-0.0022		154.8763
6.2000		-0.0015		-0.0002		-0.0008		5.1510		-5.0010		-5.6503		-0.0000		-0.0000		62.0000		-0.0030		154.8963
6.2000		-0.0015		-0.0002		-0.0008		5.1522		-5.0010		-5.6603		-0.0000		-0.0000		62.0000		-0.0030		154.9163
6.2030		-0.0018		-0.0002		-0.0008		5.1534		-5.0010		-5.6603		-0.0000		-0.0000		62.0300		-0.0036		154.9363
6.2030		-0.0018		-0.0002		-0.0008		5.1534		-5.0010		-5.6603		-0.0000		-0.0000		62.0300		-0.0036		154.9563
6.2060		-0.0022		-0.0002		-0.0008		5.1546		-5.0010		-5.6603		-0.0000		-0.0000		62.0600		-0.0044		154.9763
6.2060		-0.0022		-0.0002		-0.0008		5.1546		-5.0010		-5.6603		-0.0000		-0.0000		62.0600		-0.0044		154.9963
6.2080		-0.0025		0.0000		-0.0004		5.1558		-5.0010		-5.6603		-0.0000		-0.0000		62.0800		-0.0050		155.0163
6.2080		-0.0025		0.0000		-0.0004		5.1558		-5.0010		-5.6603		-0.0000		-0.0000		62.0800		-0.0050		155.0363
6.2110		-0.0025		-0.0002		-0.0004		5.1571		-5.0010		-5.6603		-0.0000		-0.0000		62.1100		-0.0050		155.0563
6.2110		-0.0025		-0.0002		-0.0004		5.1571		-5.0010		-5.6603		-0.0000		-0.0000		62.1100		-0.0050		155.0763
6.2130		-0.0025		-0.0002		-0.0004		5.1583		-5.0010		-5.6603		-0.0000		-0.0000		62.1300		-0.0050		155.0963
6.2130		-0.0025		-0.0002		-0.0004		5.1583		-5.0010		-5.6603		-0.0000		-0.0000		62.1300		-0.0050		155.1163
6.2160		-0.0026		-0.0002		-0.0004		5.1595		-5.0010		-5.6603		-0.0000		-0.0000		62.1600		-0.0052		155.1363
6.2160		-0.0026		-0.0002		-0.0004		5.1595		-5.0010		-5.6603		-0.0000		-0.0000		62.1600		-0.0052		155.1563
6.2160		-0.0026		-0.0002		-0.0004		5.1607		-5.0010		-5.6703		-0.0000		-0.0000		62.1600		-0.0052		155.1763
6.2180		-0.0026		-0.0002		-0.0004		5.1619		-5.0010		-5.6703		-0.0000		-0.0000		62.1800		-0.0052		155.1963
6.2200		-0.0023		-0.0002		-0.0004		5.1619		-5.0110		-5.6703		-0.0000		-0.0000		62.2000		-0.0046		155.2163
6.2200		-0.0023		-0.0002		-0.0004		5.1631		-5.0110		-5.6703		-0.0000		-0.0000		62.2000		-0.0046		155.2363
6.2220		-0.0020		-0.0002		-0.0004		5.1631		-5.0110		-5.6703		-0.0000		-0.0000		62.2200		-0.0040		155.2563
6.2220		-0.0020		-0.0002		-0.0004		5.1643		-5.0110		-5.6703		-0.0000		-0.0000		62.2200		-0.0040		155.2764
6.2240		-0.0016		-0.0002		-0.0004		5.1643		-5.0110		-5.6703		-0.0000		-0.0000		62.2400		-0.0032		155.2964
6.2240		-0.0016		-0.0002		-0.0004		5.1655		-5.0110		-5.6703		-0.0000		-0.0000		62.2400		-0.0032		155.3164
6.2270		-0.0013		-0.0004		-0.0004		5.1668		-5.0110		-5.6703		-0.0000		-0.0000		62.2700		-0.0026		155.3364
6.2270		-0.0013		-0.0004		-0.0004		5.1668		-5.0110		-5.6703		-0.0000		-0.0000		62.2700		-0.0026		155.3564
6.2130		-0.0011		-0.0004		-0.0004		5.1680		-5.0110		-5.6804		-0.0000		-0.0000		62.1300		-0.0022		155.3764
6.2130		-0.0011		-0.0004		-0.0004		5.1680		-5.0110		-5.6804		-0.0000		-0.0000		62.1300		-0.0022		155.3964
6.1680		-0.0011		-0.0004		-0.0004		5.1692		-5.0110		-5.6804		-0.0000		-0.0000		61.6800		-0.0022		155.4164
6.1680		-0.0011		-0.0004		-0.0004		5.1692		-5.0110		-5.6804		-0.0000		-0.0000		61.6800		-0.0022		155.4364
6.1320		-0.0009		-0.0004		-0.0002		5.1704		-5.0110		-5.6804		-0.0000		-0.0000		61.3200		-0.0018		155.4564
6.1320		-0.0009		-0.0004		-0.0002		5.1704		-5.0110		-5.6804		-0.0000		-0.0000		61.3200		-0.0018		155.4764
6.1240		-0.0009		-0.0004		-0.0002		5.1716		-5.0110		-5.6804		-0.0000		-0.0000		61.2400		-0.0018		155.4964
6.1240		-0.0009		-0.0004		-0.0002		5.1716		-5.0210		-5.6804		-0.0000		-0.0000		61.2400		-0.0018		155.5164
6.1210		-0.0009		-0.0002		-0.0004		5.1728		-5.0210		-5.6804		-0.0000		-0.0000		61.2100		-0.0018		155.5364
6.1210		-0.0009		-0.0002		-0.0004		5.1728		-5.0210		-5.6804		-0.0000		-0.0000		61.2100		-0.0018		155.5564
6.1210		-0.0009		-0.0002		-0.0004		5.1740		-5.0210		-5.6804		-0.0000		-0.0000		61.2100		-0.0018		155.5764
6.1200		-0.0008		-0.0002		-0.0004		5.1752		-5.0210		-5.6804		-0.0000		-0.0000		61.2000		-0.0016		155.5964
6.1180		-0.0009		-0.0002		-0.0004		5.1752		-5.0210		-5.6904		-0.0000		-0.0000		61.1800		-0.0018		155.6164
6.1180		-0.0009		-0.0002		-0.0004		5.1765		-5.0210		-5.6904		-0.0000		-0.0000		61.1800		-0.0018		155.6364
6.1180		-0.0011		-0.0002		-0.0004		5.1765		-5.0210		-5.6904		-0.0000		-0.0000		61.1800		-0.0022		155.6564
6.1180		-0.0011		-0.0002		-0.0004		5.1777		-5.0210		-5.6904		-0.0000		-0.0000		61.1800		-0.0022		155.6764
6.1200		-0.0013		-0.0002		-0.0004		5.1777		-5.0210		-5.6904		-0.0000		-0.0000		61.2000		-0.0026		155.6964
6.1200		-0.0013		-0.0002		-0.0004		5.1789		-5.0210		-5.6904		-0.0000		-0.0000		61.2000		-0.0026		155.7164
6.1230		-0.0013		-0.0002		-0.0004		5.1789		-5.0210		-5.6904		-0.0000		-0.0000		61.2300		-0.0026		155.7365
6.1230		-0.0013		-0.0002		-0.0004		5.1801		-5.0210		-5.6904		-0.0000		-0.0000		61.2300		-0.0026		155.7565
6.1250		-0.0013		-0.0002		-0.0004		5.1813		-5.0210		-5.6904		-0.0000		-0.0000		61.2500		-0.0026		155.7765
6.1250		-0.0013		-0.0002		-0.0004		5.1813		-5.0210		-5.6904		-0.0000		-0.0000		61.2500		-0.0026		155.7965
6.1290		-0.0013		-0.0004		-0.0004		5.1825		-5.0210		-5.6904		-0.0000		-0.0000		61.2900		-0.0026		155.8165
6.1290		-0.0013		-0.0004		-0.0004		5.1825		-5.0310		-5.6904		-0.0000		-0.0000		61.2900		-0.0026		155.8365
6.1330		-0.0015		-0.0004		-0.0004		5.1837		-5.0310		-5.6904		-0.0000		-0.0000		61.3300		-0.0030		155.8565
6.1330		-0.0015		-0.0004		-0.0004		5.1837		-5.0310		-5.6904		-0.0000		-0.0000		61.3300		-0.0030		155.8765
6.1380		-0.0016		-0.0004		-0.0002		5.1849		-5.0310		-5.7004		-0.0000		-0.0000		61.3800		-0.0032		155.8965
6.1380		-0.0016		-0.0004		-0.0002		5.1849		-5.0310		-5.7004		-0.0000		-0.0000		61.3800		-0.0032		155.9165
6.1430		-0.0018		-0.0004		0.0000		5.1861		-5.0310		-5.7004		-0.0000		-0.0000		61.4300		-0.0036		155.9365
6.1430		-0.0018		-0.0004		0.0000		5.1861		-5.0310		-5.7004		-0.0000		-0.0000		61.4300		-0.0036		155.9565
6.1470		-0.0018		-0.0004		0.0000		5.1874		-5.0310		-5.7004		-0.0000		-0.0000		61.4700		-0.0036		155.9765
6.1470		-0.0018		-0.0004		0.0000		5.1886		-5.0310		-5.7004		-0.0000		-0.0000		61.4700		-0.0036		155.9965
6.1510		-0.0016		-0.0004		-0.0002		5.1886		-5.0310		-5.7004		-0.0000		-0.0000		61.5100		-0.0032		156.0165
6.1510		-0.0016		-0.0004		-0.0002		5.1898		-5.0310		-5.7004		-0.0000		-0.0000		61.5100		-0.0032		156.0365
6.1550		-0.0016		-0.0004		-0.0002		5.1898		-5.0310		-5.7004		-0.0000		-0.0000		61.5500		-0.0032		156.0565
6.1550		-0.0016		-0.0004		-0.0002		5.1910		-5.0310		-5.7004		-0.0000		-0.0000		61.5500		-0.0032		156.0765
6.1590		-0.0015		-0.0004		-0.0002		5.1910		-5.0310		-5.7004		-0.0000		-0.0000		61.5900		-0.0030		156.0965
6.1590		-0.0015		-0.0004		-0.0002		5.1922		-5.0310		-5.7004		-0.0000		-0.0000		61.5900		-0.0030		156.1165
6.1630		-0.0013		-0.0004		-0.0002		5.1922		-5.0310		-5.7004		-0.0000		-0.0000		61.6300		-0.0026		156.1365
6.1630		-0.0013		-0.0004		-0.0002		5.1934		-5.0310		-5.7004		-0.0000		-0.0000		61.6300		-0.0026		156.1565
6.1670		-0.0011		-0.0004		-0.0002		5.1946		-5.0411		-5.7105		-0.0000		-0.0000		61.6700		-0.0022		156.1765
6.1670		-0.0011		-0.0004		-0.0002		5.1946		-5.0411		-5.7105		-0.0000		-0.0000		61.6700		-0.0022		156.1965
6.1700		-0.0011		-0.0004		0.0000		5.1958		-5.0411		-5.7105		-0.0000		-0.0000		61.7000		-0.0022		156.2166
6.1700		-0.0011		-0.0004		0.0000		5.1958		-5.0411		-5.7105		-0.0000		-0.0000		61.7000		-0.0022		156.2366
6.1730		-0.0009		-0.0004		0.0000		5.1971		-5.0411		-5.7105		-0.0000		-0.0000		61.7300		-0.0018		156.2566
6.1730		-0.0009		-0.0004		0.0000		5.1971		-5.0411		-5.7105		-0.0000		-0.0000		61.7300		-0.0018		156.2766
6.1730		-0.0009		-0.0004		0.0000		5.1983		-5.0411		-5.7105		-0.0000		-0.0000		61.7300		-0.0018		156.2966
6.1770		-0.0009		-0.0004		0.0000		5.1983		-5.0411		-5.7105		-0.0000		-0.0000		61.7700		-0.0018		156.3166
6.1810		-0.0009		-0.0004		0.0000		5.1995		-5.0411		-5.7105		-0.0000		-0.0000		61.8100		-0.0018		156.3366
6.1810		-0.0009		-0.0004		0.0000		5.1995		-5.0411		-5.7105		-0.0000		-0.0000		61.8100		-0.0018		156.3566
6.1850		-0.0009		-0.0004		0.0000		5.2007		-5.0411		-5.7105		-0.0000		-0.0000		61.8500		-0.0018		156.3766
6.1850		-0.0009		-0.0004		0.0000		5.2007		-5.0411		-5.7105		-0.0000		-0.0000		61.8500		-0.0018		156.3966
6.1880		-0.0009		-0.0004		0.0000		5.2019		-5.0411		-5.7205		-0.0000		-0.0000		61.8800		-0.0018		156.4166
6.1880		-0.0009		-0.0004		0.0000		5.2031		-5.0411		-5.7205		-0.0000		-0.0000		61.8800		-0.0018		156.4366
6.1920		-0.0008		-0.0004		0.0000		5.2031		-5.0411		-5.7205		-0.0000		-0.0000		61.9200		-0.0016		156.4566
6.1920		-0.0008		-0.0004		0.0000		5.2043		-5.0411		-5.7205		-0.0000		-0.0000		61.9200		-0.0016		156.4766
6.1950		-0.0006		-0.0004		0.0000		5.2043		-5.0511		-5.7205		-0.0000		-0.0000		61.9500		-0.0012		156.4966
6.1950		-0.0006		-0.0004		0.0000		5.2055		-5.0511		-5.7205		-0.0000		-0.0000		61.9500		-0.0012		156.5166
6.1990		-0.0005		-0.0004		0.0000		5.2055		-5.0511		-5.7205		-0.0000		-0.0000		61.9900		-0.0010		156.5366
6.1990		-0.0005		-0.0004		0.0000		5.2068		-5.0511		-5.7205		-0.0000		-0.0000		61.9900		-0.0010		156.5566
6.2020		-0.0004		-0.0004		-0.0002		5.2080		-5.0511		-5.7205		-0.0000		-0.0000		62.0200		-0.0008		156.5766
6.2020		-0.0004		-0.0004		-0.0002		5.2080		-5.0511		-5.7205		-0.0000		-0.0000		62.0200		-0.0008		156.5966
6.2050		-0.0002		-0.0004		-0.0002		5.2092		-5.0511		-5.7205		-0.0000		-0.0000		62.0500		-0.0004		156.6166
6.2050		-0.0002		-0.0004		-0.0002		5.2092		-5.0511		-5.7205		-0.0000		-0.0000		62.0500		-0.0004		156.6366
6.2070		-0.0001		-0.0004		-0.0002		5.2104		-5.0511		-5.7205		-0.0000		-0.0000		62.0700		-0.0002		156.6566
6.2070		-0.0001		-0.0004		-0.0002		5.2104		-5.0511		-5.7205		-0.0000		-0.0000		62.0700		-0.0002		156.6767
6.2100		0.0000		-0.0004		-0.0002		5.2116		-5.0511		-5.7306		-0.0000		-0.0000		62.1000		0.0000		156.6967
6.2100		0.0000		-0.0004		-0.0002		5.2116		-5.0511		-5.7306		-0.0000		-0.0000		62.1000		0.0000		156.7167
6.2140		0.0000		-0.0004		-0.0002		5.2128		-5.0511		-5.7306		-0.0000		-0.0000		62.1400		0.0000		156.7367
6.2140		0.0000		-0.0004		-0.0002		5.2128		-5.0511		-5.7306		-0.0000		-0.0000		62.1400		0.0000		156.7567
6.2160		0.0000		-0.0004		-0.0002		5.2140		-5.0511		-5.7306		-0.0000		-0.0000		62.1600		0.0000		156.7767
6.2160		0.0000		-0.0004		-0.0002		5.2140		-5.0611		-5.7306		-0.0000		-0.0000		62.1600		0.0000		156.7967
6.2190		0.0000		-0.0002		0.0000		5.2152		-5.0611		-5.7306		-0.0000		-0.0000		62.1900		0.0000		156.8167
6.2190		0.0000		-0.0002		0.0000		5.2164		-5.0611		-5.7306		-0.0000		-0.0000		62.1900		0.0000		156.8367
6.2210		-0.0001		-0.0002		0.0000		5.2164		-5.0611		-5.7306		-0.0000		-0.0000		62.2100		-0.0002		156.8567
6.2210		-0.0001		-0.0002		0.0000		5.2177		-5.0611		-5.7306		-0.0000		-0.0000		62.2100		-0.0002		156.8767
6.2230		-0.0002		-0.0004		0.0000		5.2177		-5.0611		-5.7306		-0.0000		-0.0000		62.2300		-0.0004		156.8967
6.2230		-0.0002		-0.0004		0.0000		5.2189		-5.0611		-5.7306		-0.0000		-0.0000		62.2300		-0.0004		156.9167
6.2260		-0.0004		-0.0004		0.0000		5.2189		-5.0611		-5.7306		-0.0000		-0.0000		62.2600		-0.0008		156.9367
6.2260		-0.0004		-0.0004		0.0000		5.2201		-5.0611		-5.7306		-0.0000		-0.0000		62.2600		-0.0008		156.9567
6.2280		-0.0006		-0.0004		0.0000		5.2213		-5.0611		-5.7306		-0.0000		-0.0000		62.2800		-0.0012		156.9767
6.2280		-0.0006		-0.0004		0.0000		5.2213		-5.0611		-5.7406		-0.0000		-0.0000		62.2800		-0.0012		156.9967
6.2310		-0.0008		-0.0004		-0.0002		5.2225		-5.0611		-5.7406		-0.0000		-0.0000		62.3100		-0.0016		157.0167
6.2310		-0.0008		-0.0004		-0.0002		5.2225		-5.0611		-5.7406		-0.0000		-0.0000		62.3100		-0.0016		157.0367
6.2340		-0.0009		-0.0004		-0.0002		5.2237		-5.0611		-5.7406		-0.0000		-0.0000		62.3400		-0.0018		157.0567
6.2340		-0.0009		-0.0004		-0.0002		5.2237		-5.0611		-5.7406		-0.0000		-0.0000		62.3400		-0.0018		157.0767
6.2360		-0.0008		-0.0004		-0.0002		5.2249		-5.0711		-5.7406		-0.0000		-0.0000		62.3600		-0.0016		157.0967
6.2360		-0.0008		-0.0004		-0.0002		5.2249		-5.0711		-5.7406		-0.0000		-0.0000		62.3600		-0.0016		157.1167
6.2390		-0.0006		-0.0004		-0.0004		5.2261		-5.0711		-5.7406		-0.0000		-0.0000		62.3900		-0.0012		157.1367
6.2390		-0.0006		-0.0004		-0.0004		5.2261		-5.0711		-5.7406		-0.0000		-0.0000		62.3900		-0.0012		157.1568
6.2420		-0.0005		-0.0008		-0.0004		5.2274		-5.0711		-5.7406		-0.0000		-0.0000		62.4200		-0.0010		157.1768
6.2420		-0.0005		-0.0008		-0.0004		5.2274		-5.0711		-5.7406		-0.0000		-0.0000		62.4200		-0.0010		157.1968
6.2450		-0.0004		-0.0008		-0.0004		5.2286		-5.0711		-5.7406		-0.0000		-0.0000		62.4500		-0.0008		157.2168
6.2450		-0.0004		-0.0008		-0.0004		5.2298		-5.0711		-5.7406		-0.0000		-0.0000		62.4500		-0.0008		157.2368
6.2480		-0.0004		-0.0008		-0.0004		5.2298		-5.0711		-5.7506		-0.0000		-0.0000		62.4800		-0.0008		157.2568
6.2480		-0.0004		-0.0008		-0.0004		5.2310		-5.0711		-5.7506		-0.0000		-0.0000		62.4800		-0.0008		157.2768
6.2500		-0.0004		-0.0008		-0.0008		5.2310		-5.0711		-5.7506		-0.0000		-0.0000		62.5000		-0.0008		157.2968
6.2500		-0.0004		-0.0008		-0.0008		5.2322		-5.0711		-5.7506		-0.0000		-0.0000		62.5000		-0.0008		157.3168
6.2530		-0.0002		-0.0008		-0.0008		5.2322		-5.0711		-5.7506		-0.0000		-0.0000		62.5300		-0.0004		157.3368
6.2530		-0.0002		-0.0008		-0.0008		5.2334		-5.0711		-5.7506		-0.0000		-0.0000		62.5300		-0.0004		157.3568
6.2560		-0.0002		-0.0008		-0.0010		5.2346		-5.0711		-5.7506		-0.0000		-0.0000		62.5600		-0.0004		157.3768
6.2560		-0.0002		-0.0008		-0.0010		5.2346		-5.0711		-5.7506		-0.0000		-0.0000		62.5600		-0.0004		157.3968
6.2590		-0.0002		-0.0004		-0.0010		5.2358		-5.0812		-5.7506		-0.0000		-0.0000		62.5900		-0.0004		157.4168
6.2590		-0.0002		-0.0004		-0.0010		5.2358		-5.0812		-5.7506		-0.0000		-0.0000		62.5900		-0.0004		157.4368
6.2610		-0.0002		-0.0004		-0.0010		5.2371		-5.0812		-5.7506		-0.0000		-0.0000		62.6100		-0.0004		157.4568
6.2610		-0.0002		-0.0004		-0.0010		5.2371		-5.0812		-5.7506		-0.0000		-0.0000		62.6100		-0.0004		157.4768
6.2640		-0.0002		-0.0004		-0.0012		5.2383		-5.0812		-5.7506		-0.0000		-0.0000		62.6400		-0.0004		157.4968
6.2640		-0.0002		-0.0004		-0.0012		5.2383		-5.0812		-5.7607		-0.0000		-0.0000		62.6400		-0.0004		157.5168
6.2670		-0.0001		-0.0004		-0.0010		5.2395		-5.0812		-5.7607		-0.0000		-0.0000		62.6700		-0.0002		157.5368
6.2670		-0.0001		-0.0004		-0.0010		5.2395		-5.0812		-5.7607		-0.0000		-0.0000		62.6700		-0.0002		157.5568
6.2690		-0.0002		-0.0004		-0.0010		5.2407		-5.0812		-5.7607		-0.0000		-0.0000		62.6900		-0.0004		157.5768
6.2690		-0.0002		-0.0004		-0.0010		5.2407		-5.0812		-5.7607		-0.0000		-0.0000		62.6900		-0.0004		157.5968
6.2720		-0.0004		-0.0004		-0.0010		5.2419		-5.0812		-5.7607		-0.0000		-0.0000		62.7200		-0.0008		157.6169
6.2720		-0.0004		-0.0004		-0.0010		5.2431		-5.0812		-5.7607		-0.0000		-0.0000		62.7200		-0.0008		157.6369
6.2750		-0.0008		-0.0004		-0.0008		5.2431		-5.0812		-5.7607		-0.0000		-0.0000		62.7500		-0.0016		157.6569
6.2750		-0.0008		-0.0004		-0.0008		5.2443		-5.0812		-5.7607		-0.0000		-0.0000		62.7500		-0.0016		157.6769
6.2760		-0.0009		-0.0004		-0.0008		5.2443		-5.0812		-5.7607		-0.0000		-0.0000		62.7600		-0.0018		157.6969
6.2760		-0.0009		-0.0004		-0.0008		5.2455		-5.0812		-5.7607		-0.0000		-0.0000		62.7600		-0.0018		157.7169
6.2790		-0.0008		-0.0004		-0.0008		5.2455		-5.0912		-5.7607		-0.0000		-0.0000		62.7900		-0.0016		157.7369
6.2790		-0.0008		-0.0004		-0.0008		5.2467		-5.0912		-5.7607		-0.0000		-0.0000		62.7900		-0.0016		157.7569
6.2810		-0.0009		-0.0004		-0.0008		5.2467		-5.0912		-5.7707		-0.0000		-0.0000		62.8100		-0.0018		157.7769
6.2810		-0.0009		-0.0004		-0.0008		5.2480		-5.0912		-5.7707		-0.0000		-0.0000		62.8100		-0.0018		157.7969
6.2830		-0.0011		-0.0004		-0.0008		5.2492		-5.0912		-5.7707		-0.0000		-0.0000		62.8300		-0.0022		157.8169
6.2830		-0.0011		-0.0004		-0.0008		5.2492		-5.0912		-5.7707		-0.0000		-0.0000		62.8300		-0.0022		157.8369
6.2850		-0.0011		-0.0004		-0.0010		5.2504		-5.0912		-5.7707		-0.0000		-0.0000		62.8500		-0.0022		157.8569
6.2850		-0.0011		-0.0004		-0.0010		5.2504		-5.0912		-5.7707		-0.0000		-0.0000		62.8500		-0.0022		157.8769
6.2870		-0.0011		-0.0004		-0.0010		5.2516		-5.0912		-5.7707		-0.0000		-0.0000		62.8700		-0.0022		157.8969
6.2870		-0.0011		-0.0004		-0.0010		5.2516		-5.0912		-5.7707		-0.0000		-0.0000		62.8700		-0.0022		157.9169
